,year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
1,2016,0,0,United States,138846571,230931921
2,2016,41,1,Alabama,2134061,3609447
3,2016,81,2,Alaska,321271,522679
4,2016,61,3,Arizona,2661497,4740310
5,2016,42,4,Arkansas,1137772,2140097
6,2016,71,5,California,14610509,25104844
7,2016,62,6,Colorado,2859216,3974405
8,2016,1,7,Connecticut,1675955,2582761
9,2016,11,8,Delaware,445228,691720
10,2016,55,9,District of Columbia,312575,515248
11,2016,43,10,Florida,9580489,14601066
12,2016,44,11,Georgia,4165405,6959963
13,2016,82,12,Hawaii,437664,1012860
14,2016,63,13,Idaho,710545,1166706
15,2016,21,14,Illinois,5666118,8985443
16,2016,22,15,Indiana,2807676,4849937
17,2016,31,16,Iowa,1581371,2288536
18,2016,32,17,Kansas,1225667,2054025
19,2016,51,18,Kentucky,1955195,3282420
20,2016,45,19,Louisiana,2049531,3384435
21,2016,2,20,Maine,771892,1058372
22,2016,52,21,Maryland,2807322,4189616
23,2016,3,22,Massachusetts,3378801,4948028
24,2016,23,23,Michigan,4874619,7420628
25,2016,33,24,Minnesota,2968281,3973204
26,2016,46,25,Mississippi,1209357,2191241
27,2016,34,26,Missouri,2811549,4517925
28,2016,64,27,Montana,516901,804250
29,2016,35,28,Nebraska,860573,1343821
30,2016,65,29,Nevada,1125429,1961587
31,2016,4,30,New Hampshire,755850,1042795
32,2016,12,31,New Jersey,3957303,6013656
33,2016,66,32,New Mexico,804043,1464515
34,2016,13,33,New York,7786881,13604645
35,2016,47,34,North Carolina,4769640,7352501
36,2016,36,35,North Dakota,349945,566783
37,2016,24,36,Ohio,5607641,8736808
38,2016,53,37,Oklahoma,1452992,2778219
39,2016,72,38,Oregon,2056310,3024174
40,2016,14,39,Pennsylvania,6165478,9691160
41,2016,5,40,Rhode Island,469589,786012
42,2016,48,41,South Carolina,2123584,3709283
43,2016,37,42,South Dakota,378995,631173
44,2016,54,43,Tennessee,2545271,4909426
45,2016,49,44,Texas,8975000,17448910
46,2016,67,45,Utah,1152369,1991885
47,2016,6,46,Vermont,320467,506048
48,2016,40,47,Virginia,3984631,6027152
49,2016,73,48,Washington,3363440,5123020
50,2016,56,49,West Virginia,714423,1423031
51,2016,25,50,Wisconsin,2976150,4285071
52,2016,68,51,Wyoming,258788,429682
53,2014,0,0,United States,83262122,227157964
54,2014,41,1,Alabama,1191274,3588783
55,2014,81,2,Alaska,285431,520562
56,2014,61,3,Arizona,1537671,4510186
57,2014,42,4,Arkansas,852642,2117881
58,2014,71,5,California,7513972,24440416
59,2014,62,6,Colorado,2080071,3800664
60,2014,1,7,Connecticut,1096556,2577311
61,2014,11,8,Delaware,238110,681526
62,2014,55,9,District of Columbia,177176,495899
63,2014,43,10,Florida,6026802,13914216
64,2014,44,11,Georgia,2596947,6725041
65,2014,82,12,Hawaii,369554,1012123
66,2014,63,13,Idaho,445307,1119882
67,2014,21,14,Illinois,3680417,9028752
68,2014,22,15,Indiana,1387622,4829510
69,2014,31,16,Iowa,1142284,2269179
70,2014,32,17,Kansas,887023,2048164
71,2014,51,18,Kentucky,1459409,3247300
72,2014,45,19,Louisiana,1503975,3349433
73,2014,2,20,Maine,616996,1051557
74,2014,52,21,Maryland,1745104,4154546
75,2014,3,22,Massachusetts,2186789,4896296
76,2014,23,23,Michigan,3188956,7383958
77,2014,33,24,Minnesota,1992613,3935121
78,2014,46,25,Mississippi,NA,2181131
79,2014,34,26,Missouri,1509025,4493722
80,2014,64,27,Montana,373831,787748
81,2014,35,28,Nebraska,552115,1334453
82,2014,65,29,Nevada,552546,1867644
83,2014,4,30,New Hampshire,495565,1025862
84,2014,12,31,New Jersey,1955042,6014127
85,2014,66,32,New Mexico,NA,1449503
86,2014,13,33,New York,3930310,13553426
87,2014,47,34,North Carolina,2939767,7143737
88,2014,36,35,North Dakota,255128,567221
89,2014,24,36,Ohio,3149876,8701243
90,2014,53,37,Oklahoma,825607,2755091
91,2014,72,38,Oregon,1541782,2887517
92,2014,14,39,Pennsylvania,3535576,9689491
93,2014,5,40,Rhode Island,329212,776286
94,2014,48,41,South Carolina,1261611,3584461
95,2014,37,42,South Dakota,282291,630989
96,2014,54,43,Tennessee,1430117,4799476
97,2014,49,44,Texas,NA,16675420
98,2014,67,45,Utah,577973,1905801
99,2014,6,46,Vermont,202445,495884
100,2014,40,47,Virginia,2194346,5962456
101,2014,73,48,Washington,2123901,4928407
102,2014,56,49,West Virginia,462864,1447652
103,2014,25,50,Wisconsin,2422248,4260427
104,2014,68,51,Wyoming,171153,431434
105,2012,0,0,United States,130292355,222474111
106,2012,41,1,Alabama,NA,3539217
107,2012,81,2,Alaska,301694,511792
108,2012,61,3,Arizona,2323579,4387900
109,2012,42,4,Arkansas,1078548,2109847
110,2012,71,5,California,13202158,23681837
111,2012,62,6,Colorado,2596173,3675871
112,2012,1,7,Connecticut,1560640,2543202
113,2012,11,8,Delaware,NA,663967
114,2012,55,9,District of Columbia,294254,477582
115,2012,43,10,Florida,8538264,13495057
116,2012,44,11,Georgia,3919355,6606607
117,2012,82,12,Hawaii,437159,982902
118,2012,63,13,Idaho,666290,1091410
119,2012,21,14,Illinois,5279752,8899143
120,2012,22,15,Indiana,2663368,4755291
121,2012,31,16,Iowa,1589951,2251748
122,2012,32,17,Kansas,1182771,2030686
123,2012,51,18,Kentucky,1815843,3229185
124,2012,45,19,Louisiana,2014548,3311626
125,2012,2,20,Maine,724758,1046008
126,2012,52,21,Maryland,2734062,4063582
127,2012,3,22,Massachusetts,3184196,4809675
128,2012,23,23,Michigan,4780701,7312725
129,2012,33,24,Minnesota,2950780,3861598
130,2012,46,25,Mississippi,NA,2166825
131,2012,34,26,Missouri,NA,4432957
132,2012,64,27,Montana,491966,774476
133,2012,35,28,Nebraska,804245,1316915
134,2012,65,29,Nevada,1016664,1800969
135,2012,4,30,New Hampshire,718700,1013420
136,2012,12,31,New Jersey,3683638,5918182
137,2012,66,32,New Mexico,786522,1436363
138,2012,13,33,New York,7128852,13324107
139,2012,47,34,North Carolina,4542488,6947954
140,2012,36,35,North Dakota,325564,539164
141,2012,24,36,Ohio,5632423,8649495
142,2012,53,37,Oklahoma,NA,2713268
143,2012,72,38,Oregon,1820507,2836101
144,2012,14,39,Pennsylvania,NA,9651432
145,2012,5,40,Rhode Island,NA,768918
146,2012,48,41,South Carolina,1981516,3486838
147,2012,37,42,South Dakota,368270,613190
148,2012,54,43,Tennessee,2478870,4736084
149,2012,49,44,Texas,NA,16119973
150,2012,67,45,Utah,1028786,1833339
151,2012,6,46,Vermont,301793,493355
152,2012,40,47,Virginia,3888186,5834676
153,2012,73,48,Washington,3172939,4822060
154,2012,56,49,West Virginia,NA,1447066
155,2012,25,50,Wisconsin,NA,4209370
156,2012,68,51,Wyoming,250701,425142
157,2010,0,0,United States,90912015,217551109
158,2010,41,1,Alabama,1503232,3472582
159,2010,81,2,Alaska,261128,493764
160,2010,61,3,Arizona,1750840,4209544
161,2010,42,4,Arkansas,789773,2081156
162,2010,71,5,California,10529134,22946053
163,2010,62,6,Colorado,1828323,3533054
164,2010,1,7,Connecticut,1153872,2512981
165,2010,11,8,Delaware,316754,646969
166,2010,55,9,District of Columbia,135846,458619
167,2010,43,10,Florida,5473787,12961184
168,2010,44,11,Georgia,2623035,6464845
169,2010,82,12,Hawaii,386302,959531
170,2010,63,13,Idaho,459079,1069446
171,2010,21,14,Illinois,3792770,8798829
172,2010,22,15,Indiana,1791832,4697111
173,2010,31,16,Iowa,1133429,2234516
174,2010,32,17,Kansas,857658,2011497
175,2010,51,18,Kentucky,1417995,3198093
176,2010,45,19,Louisiana,1298649,3249524
177,2010,2,20,Maine,580584,1038201
178,2010,52,21,Maryland,1868179,4001034
179,2010,3,22,Massachusetts,2319963,4693670
180,2010,23,23,Michigan,3268217,7245281
181,2010,33,24,Minnesota,2123369,3802677
182,2010,46,25,Mississippi,NA,2129334
183,2010,34,26,Missouri,1997271,4366435
184,2010,64,27,Montana,367096,758653
185,2010,35,28,Nebraska,503514,1301483
186,2010,65,29,Nevada,723515,1747288
187,2010,4,30,New Hampshire,461423,999918
188,2010,12,31,New Jersey,2200974,5834037
189,2010,66,32,New Mexico,630013,1408872
190,2010,13,33,New York,4763899,13135048
191,2010,47,34,North Carolina,2700706,6785463
192,2010,36,35,North Dakota,241039,516974
193,2010,24,36,Ohio,3956028,8571952
194,2010,53,37,Oklahoma,1043507,2666767
195,2010,72,38,Oregon,1487210,2760607
196,2010,14,39,Pennsylvania,4055336,9565822
197,2010,5,40,Rhode Island,346357,763534
198,2010,48,41,South Carolina,1365480,3388417
199,2010,37,42,South Dakota,323410,599507
200,2010,54,43,Tennessee,1620619,4622919
201,2010,49,44,Texas,5066957,15514007
202,2010,67,45,Utah,653274,1772934
203,2010,6,46,Vermont,243617,488942
204,2010,40,47,Virginia,2214505,5660589
205,2010,73,48,Washington,2565589,4724350
206,2010,56,49,West Virginia,536493,1442003
207,2010,25,50,Wisconsin,2185021,4172130
208,2010,68,51,Wyoming,190822,414536
209,2008,0,0,United States,132609063,213313508
210,2008,41,1,Alabama,2105622,3454510
211,2008,81,2,Alaska,327341,479429
212,2008,61,3,Arizona,2320851,4046075
213,2008,42,4,Arkansas,1095958,2071563
214,2008,71,5,California,13743177,22261504
215,2008,62,6,Colorado,2422236,3382959
216,2008,1,7,Connecticut,NA,2471082
217,2008,11,8,Delaware,413562,628200
218,2008,55,9,District of Columbia,266871,432566
219,2008,43,10,Florida,8453743,12687407
220,2008,44,11,Georgia,3940705,6281872
221,2008,82,12,Hawaii,456064,930067
222,2008,63,13,Idaho,667506,1029416
223,2008,21,14,Illinois,5578195,8681138
224,2008,22,15,Indiana,2805986,4653019
225,2008,31,16,Iowa,1543662,2216094
226,2008,32,17,Kansas,1264208,1991759
227,2008,51,18,Kentucky,1858578,3152629
228,2008,45,19,Louisiana,1979852,3205794
229,2008,2,20,Maine,744456,1036242
230,2008,52,21,Maryland,2661905,3925117
231,2008,3,22,Massachusetts,3102995,4612550
232,2008,23,23,Michigan,5039080,7229512
233,2008,33,24,Minnesota,2921147,3740142
234,2008,46,25,Mississippi,NA,2113347
235,2008,34,26,Missouri,2950504,4327572
236,2008,64,27,Montana,497599,741853
237,2008,35,28,Nebraska,811923,1274719
238,2008,65,29,Nevada,970019,1696831
239,2008,4,30,New Hampshire,719643,992226
240,2008,12,31,New Jersey,3910220,5776527
241,2008,66,32,New Mexico,833365,1362629
242,2008,13,33,New York,7721718,12948969
243,2008,47,34,North Carolina,4354571,6584302
244,2008,36,35,North Dakota,321133,504762
245,2008,24,36,Ohio,5773777,8513079
246,2008,53,37,Oklahoma,1474694,2619121
247,2008,72,38,Oregon,1845251,2700327
248,2008,14,39,Pennsylvania,6071357,9457942
249,2008,5,40,Rhode Island,475428,763608
250,2008,48,41,South Carolina,1927153,3311044
251,2008,37,42,South Dakota,387449,590720
252,2008,54,43,Tennessee,2618238,4563192
253,2008,49,44,Texas,NA,14929810
254,2008,67,45,Utah,971185,1700286
255,2008,6,46,Vermont,326822,482677
256,2008,40,47,Virginia,3753059,5555415
257,2008,73,48,Washington,3071587,4561163
258,2008,56,49,West Virginia,731691,1430439
259,2008,25,50,Wisconsin,2997086,4120694
260,2008,68,51,Wyoming,256035,405732
261,2006,0,0,United States,85769132,207643594
262,2006,41,1,Alabama,NA,3338467
263,2006,81,2,Alaska,238307,465169
264,2006,61,3,Arizona,1553032,3923786
265,2006,42,4,Arkansas,780409,2004193
266,2006,71,5,California,8899059,21582217
267,2006,62,6,Colorado,1586105,3297308
268,2006,1,7,Connecticut,1162391,2437559
269,2006,11,8,Delaware,258053,601341
270,2006,55,9,District of Columbia,122356,426612
271,2006,43,10,Florida,4884544,12187858
272,2006,44,11,Georgia,2143845,6115331
273,2006,82,12,Hawaii,348988,908925
274,2006,63,13,Idaho,458927,993010
275,2006,21,14,Illinois,3586292,8667453
276,2006,22,15,Indiana,1719351,4559294
277,2006,31,16,Iowa,1071509,2178322
278,2006,32,17,Kansas,864083,1948850
279,2006,51,18,Kentucky,1370062,3100828
280,2006,45,19,Louisiana,954896,3043573
281,2006,2,20,Maine,NA,1016287
282,2006,52,21,Maryland,1809237,3833349
283,2006,3,22,Massachusetts,2243835,4552794
284,2006,23,23,Michigan,3852008,7292624
285,2006,33,24,Minnesota,2217552,3667707
286,2006,46,25,Mississippi,NA,2077420
287,2006,34,26,Missouri,2178278,4253541
288,2006,64,27,Montana,411061,720447
289,2006,35,28,Nebraska,610499,1251027
290,2006,65,29,Nevada,586274,1579222
291,2006,4,30,New Hampshire,418550,975281
292,2006,12,31,New Jersey,2315643,5701033
293,2006,66,32,New Mexico,568597,1320285
294,2006,13,33,New York,4703830,12878632
295,2006,47,34,North Carolina,2036451,6264630
296,2006,36,35,North Dakota,220479,486142
297,2006,24,36,Ohio,4184072,8461211
298,2006,53,37,Oklahoma,NA,2547224
299,2006,72,38,Oregon,1399650,2628937
300,2006,14,39,Pennsylvania,NA,9283762
301,2006,5,40,Rhode Island,392882,754219
302,2006,48,41,South Carolina,1117311,3152046
303,2006,37,42,South Dakota,341105,580592
304,2006,54,43,Tennessee,1868363,4433921
305,2006,49,44,Texas,NA,14255313
306,2006,67,45,Utah,582561,1664323
307,2006,6,46,Vermont,263025,478247
308,2006,40,47,Virginia,2398589,5385522
309,2006,73,48,Washington,2085074,4403981
310,2006,56,49,West Virginia,473014,1401490
311,2006,25,50,Wisconsin,2183155,4064432
312,2006,68,51,Wyoming,196217,379127
313,2004,0,0,United States,123535883,203483455
314,2004,41,1,Alabama,1890317,3292608
315,2004,81,2,Alaska,314502,452124
316,2004,61,3,Arizona,2038069,3717055
317,2004,42,4,Arkansas,1070573,1969208
318,2004,71,5,California,12589367,21132533
319,2004,62,6,Colorado,2148036,3192647
320,2004,1,7,Connecticut,1607808,2429634
321,2004,11,8,Delaware,377407,584817
322,2004,55,9,District of Columbia,230105,419142
323,2004,43,10,Florida,7640319,11811921
324,2004,44,11,Georgia,3317336,5878186
325,2004,82,12,Hawaii,431662,889540
326,2004,63,13,Idaho,612786,946160
327,2004,21,14,Illinois,5350493,8576696
328,2004,22,15,Indiana,2512142,4504260
329,2004,31,16,Iowa,1521966,2156389
330,2004,32,17,Kansas,1213108,1928764
331,2004,51,18,Kentucky,1816867,3057741
332,2004,45,19,Louisiana,1956590,3182762
333,2004,2,20,Maine,751519,1003792
334,2004,52,21,Maryland,2395791,3797264
335,2004,3,22,Massachusetts,2927455,4533859
336,2004,23,23,Michigan,4875692,7263024
337,2004,33,24,Minnesota,2842912,3609185
338,2004,46,25,Mississippi,NA,2068766
339,2004,34,26,Missouri,2764635,4180960
340,2004,64,27,Montana,456096,699114
341,2004,35,28,Nebraska,792906,1236522
342,2004,65,29,Nevada,831563,1501437
343,2004,4,30,New Hampshire,683672,956422
344,2004,12,31,New Jersey,3638153,5663201
345,2004,66,32,New Mexico,775301,1282767
346,2004,13,33,New York,7448266,12738056
347,2004,47,34,North Carolina,3552449,6055771
348,2004,36,35,North Dakota,316049,482722
349,2004,24,36,Ohio,5722443,8427696
350,2004,53,37,Oklahoma,NA,2510823
351,2004,72,38,Oregon,1851671,2550887
352,2004,14,39,Pennsylvania,NA,9221962
353,2004,5,40,Rhode Island,440228,747046
354,2004,48,41,South Carolina,1626720,3055098
355,2004,37,42,South Dakota,394930,569161
356,2004,54,43,Tennessee,2456610,4328446
357,2004,49,44,Texas,NA,13796256
358,2004,67,45,Utah,942010,1574463
359,2004,6,46,Vermont,314220,470754
360,2004,40,47,Virginia,3223156,5277156
361,2004,73,48,Washington,2883499,4272914
362,2004,56,49,West Virginia,769645,1396545
363,2004,25,50,Wisconsin,3016288,4006948
364,2004,68,51,Wyoming,245789,370785
365,2002,0,0,United States,80295249,198381939
366,2002,41,1,Alabama,NA,3285643
367,2002,81,2,Alaska,232852,427337
368,2002,61,3,Arizona,1255615,3419481
369,2002,42,4,Arkansas,814176,1951568
370,2002,71,5,California,7738821,20733192
371,2002,62,6,Colorado,1424029,3056465
372,2002,1,7,Connecticut,1090756,2418037
373,2002,11,8,Delaware,NA,564938
374,2002,55,9,District of Columbia,NA,412062
375,2002,43,10,Florida,5143674,11194391
376,2002,44,11,Georgia,NA,5731983
377,2002,82,12,Hawaii,385462,872992
378,2002,63,13,Idaho,416533,921256
379,2002,21,14,Illinois,3651808,8540965
380,2002,22,15,Indiana,1562037,4494191
381,2002,31,16,Iowa,1040201,2136683
382,2002,32,17,Kansas,851966,1897261
383,2002,51,18,Kentucky,NA,3044267
384,2002,45,19,Louisiana,1267225,3163663
385,2002,2,20,Maine,NA,995056
386,2002,52,21,Maryland,1721626,3678346
387,2002,3,22,Massachusetts,2220301,4458820
388,2002,23,23,Michigan,3219864,7147888
389,2002,33,24,Minnesota,NA,3518184
390,2002,46,25,Mississippi,NA,2047426
391,2002,34,26,Missouri,NA,4116889
392,2002,64,27,Montana,340272,684572
393,2002,35,28,Nebraska,NA,1204512
394,2002,65,29,Nevada,512433,1391100
395,2002,4,30,New Hampshire,453078,930362
396,2002,12,31,New Jersey,2161105,5549726
397,2002,66,32,New Mexico,502230,1255086
398,2002,13,33,New York,4690968,12679865
399,2002,47,34,North Carolina,NA,5876705
400,2002,36,35,North Dakota,237224,476251
401,2002,24,36,Ohio,3356285,8322521
402,2002,53,37,Oklahoma,NA,2513143
403,2002,72,38,Oregon,1293756,2495739
404,2002,14,39,Pennsylvania,NA,9143001
405,2002,5,40,Rhode Island,337027,741776
406,2002,48,41,South Carolina,NA,2982810
407,2002,37,42,South Dakota,340407,556154
408,2002,54,43,Tennessee,NA,4151834
409,2002,49,44,Texas,4552059,13181016
410,2002,67,45,Utah,568290,1504529
411,2002,6,46,Vermont,232993,471403
412,2002,40,47,Virginia,1661915,5138270
413,2002,73,48,Washington,1808720,4162032
414,2002,56,49,West Virginia,440156,1398124
415,2002,25,50,Wisconsin,NA,3908088
416,2002,68,51,Wyoming,188028,370488
417,2000,0,0,United States,107390107,194331436
418,2000,41,1,Alabama,NA,3241682
419,2000,81,2,Alaska,287825,419111
420,2000,61,3,Arizona,1559520,3357701
421,2000,42,4,Arkansas,NA,1925961
422,2000,71,5,California,11142843,19685258
423,2000,62,6,Colorado,NA,3026316
424,2000,1,7,Connecticut,1474103,2357687
425,2000,11,8,Delaware,NA,554863
426,2000,55,9,District of Columbia,NA,416696
427,2000,43,10,Florida,6138765,10667193
428,2000,44,11,Georgia,2684951,5639668
429,2000,82,12,Hawaii,371113,832642
430,2000,63,13,Idaho,516647,877406
431,2000,21,14,Illinois,4932192,8432600
432,2000,22,15,Indiana,2246348,4424909
433,2000,31,16,Iowa,NA,2082950
434,2000,32,17,Kansas,1092716,1927950
435,2000,51,18,Kentucky,1568058,2955628
436,2000,45,19,Louisiana,1776133,3130267
437,2000,2,20,Maine,NA,969292
438,2000,52,21,Maryland,2036455,3649631
439,2000,3,22,Massachusetts,2736006,4517052
440,2000,23,23,Michigan,4279299,7070702
441,2000,33,24,Minnesota,2458303,3506432
442,2000,46,25,Mississippi,NA,2024650
443,2000,34,26,Missouri,NA,4052255
444,2000,64,27,Montana,417916,667525
445,2000,35,28,Nebraska,707223,1224178
446,2000,65,29,Nevada,613360,1346116
447,2000,4,30,New Hampshire,578656,890622
448,2000,12,31,New Jersey,3293378,5601788
449,2000,66,32,New Mexico,615607,1234088
450,2000,13,33,New York,6960215,12380208
451,2000,47,34,North Carolina,3015964,5744241
452,2000,36,35,North Dakota,292249,477968
453,2000,24,36,Ohio,4795989,8295592
454,2000,53,37,Oklahoma,NA,2475220
455,2000,72,38,Oregon,1559215,2364402
456,2000,14,39,Pennsylvania,NA,9086897
457,2000,5,40,Rhode Island,412074,753877
458,2000,48,41,South Carolina,1433533,2944326
459,2000,37,42,South Dakota,322159,548498
460,2000,54,43,Tennessee,2100241,4162996
461,2000,49,44,Texas,6407637,13033081
462,2000,67,45,Utah,784582,1431668
463,2000,6,46,Vermont,297146,459174
464,2000,40,47,Virginia,2789808,5069265
465,2000,73,48,Washington,2517028,4098044
466,2000,56,49,West Virginia,NA,1390365
467,2000,25,50,Wisconsin,NA,3842044
468,2000,68,51,Wyoming,221685,361078
469,1998,0,0,United States,74825832,190419570
470,1998,41,1,Alabama,NA,3202052
471,1998,81,2,Alaska,227156,408758
472,1998,61,3,Arizona,1037550,3232815
473,1998,42,4,Arkansas,NA,1882181
474,1998,71,5,California,8617649,19264556
475,1998,62,6,Colorado,NA,2879973
476,1998,1,7,Connecticut,1022453,2340956
477,1998,11,8,Delaware,NA,540896
478,1998,55,9,District of Columbia,137523,398318
479,1998,43,10,Florida,4070262,10590870
480,1998,44,11,Georgia,1842145,5326337
481,1998,82,12,Hawaii,412520,832172
482,1998,63,13,Idaho,386720,843914
483,1998,21,14,Illinois,3541379,8285614
484,1998,22,15,Indiana,1618689,4348730
485,1998,31,16,Iowa,973032,2112132
486,1998,32,17,Kansas,743288,1873438
487,1998,51,18,Kentucky,1215053,2930780
488,1998,45,19,Louisiana,990243,3097660
489,1998,2,20,Maine,NA,943577
490,1998,52,21,Maryland,1556994,3571087
491,1998,3,22,Massachusetts,1935277,4430939
492,1998,23,23,Michigan,3143432,7005306
493,1998,33,24,Minnesota,2105343,3378089
494,1998,46,25,Mississippi,NA,1995283
495,1998,34,26,Missouri,NA,3978146
496,1998,64,27,Montana,338733,653998
497,1998,35,28,Nebraska,581775,1197953
498,1998,65,29,Nevada,440042,1233386
499,1998,4,30,New Hampshire,330555,878508
500,1998,12,31,New Jersey,1894496,5505229
501,1998,66,32,New Mexico,517355,1199320
502,1998,13,33,New York,4989877,12263356
503,1998,47,34,North Carolina,NA,5624292
504,1998,36,35,North Dakota,217584,475629
505,1998,24,36,Ohio,3534782,8237516
506,1998,53,37,Oklahoma,NA,2415036
507,1998,72,38,Oregon,1160400,2370381
508,1998,14,39,Pennsylvania,NA,9075961
509,1998,5,40,Rhode Island,309835,723772
510,1998,48,41,South Carolina,1092430,2825173
511,1998,37,42,South Dakota,266355,534711
512,1998,54,43,Tennessee,1026017,4092745
513,1998,49,44,Texas,NA,12490423
514,1998,67,45,Utah,506553,1381989
515,1998,6,46,Vermont,224382,444772
516,1998,40,47,Virginia,NA,4900523
517,1998,73,48,Washington,1939421,3930400
518,1998,56,49,West Virginia,405139,1388176
519,1998,25,50,Wisconsin,NA,3801514
520,1998,68,51,Wyoming,178401,350136
521,1996,0,0,United States,96277634,186347044
522,1996,41,1,Alabama,NA,3144249
523,1996,81,2,Alaska,245212,404180
524,1996,61,3,Arizona,1431342,3079908
525,1996,42,4,Arkansas,NA,1844689
526,1996,71,5,California,10263490,18644593
527,1996,62,6,Colorado,NA,2770252
